date,tweet
2019-05-01 13:03:41+00:00,"NO COLLUSION, NO OBSTRUCTION. Besides, how can you have Obstruction when not only was there No Collusion (by Trump), but the bad actions were done by the “other” side? The greatest con-job in the history of American Politics!"
2019-05-01 12:28:53+00:00,"Why didn’t President Obama do something about Russia in September (before November Election) when told by the FBI? He did NOTHING, and had no intention of doing anything!"
2019-05-01 12:06:10+00:00,"Congress must change the Immigration Laws now, Dems won’t act. Wall is being built - 400 miles by end of next year. Mexico must stop the march to Border! @foxandfriends"
2019-05-01 11:11:42+00:00,"“No President in history has endured such vicious personal attacks by political opponents. Still, the President’s record is unparalleled.” @LouDobbs"
2019-05-01 11:01:15+00:00,"Gallup Poll: 56% of Americans rate their financial situation as excellent or good. This is the highest number since 2002, and up 10 points since 2016."
2019-05-01 10:50:34+00:00,"I am overriding the Decommission Order of the magnificent aircraft carrier Harry S. Truman, built in 1998 (fairly new), and considered one of the largest and finest in the world. It will be updated at a fraction of the cost of a new one (which also are being built)!"
2019-05-01 10:36:14+00:00,"“The Democrats can’t come to grips with the fact that there was No Collusion, there was No Conspiracy, there was No Obstruction. What we should be focused on is what’s been going on in our government, at the highest levels of the FBI....” Senator Josh Hawley"
2019-05-01 09:56:00+00:00,"I’ve done more for Firefighters than this dues sucking union will ever do, and I get paid ZERO!https://twitter.com/dbongino/status/1122844935391252480 …"
2019-05-02 21:33:57+00:00,Congrats to @U_S_Steel for investing $1+ BILLION in America's most INNOVATIVE steel mill. 232 Tariffs make Pennsylvania and USA more prosperous/secure by bringing Steel and Aluminum industries BACK. Tariffs are working. Pittsburgh is again The Steel City. USA Economy is BOOMING!https://twitter.com/U_S_Steel/status/1123939623355518976 …
2019-05-02 20:55:09+00:00,"On this day of prayer, we once again place our hopes in the hands of our Creator. We give thanks for this wondrous land of liberty, & we pray that THIS nation – OUR home – these United States – will forever be strengthened by the Goodness and the Grace & the eternal GLORY OF GOD!pic.twitter.com/RtSI3j1GWH"
2019-05-02 16:56:07+00:00,"As we unite on this day of prayer, we renew our resolve to protect communities of faith – and ensure that ALL of our people can live, pray and worship IN PEACE. #NationalDayOfPrayerhttps://www.pscp.tv/w/b5sYGzFvTlFsTFJub1dwUXd8MXZPR3dxemViUW14QhDpmlmScugqoickU2KuVUePB3eGp8RTqhOl7cPcdgO3?t=13m5s …"
2019-05-02 16:29:22+00:00,....and deregulation which have produced non-inflationary prosperity for all Americans. I’ve asked Steve to work with me toward future economic growth in our Country.
2019-05-02 16:29:21+00:00,"Steve Moore, a great pro-growth economist and a truly fine person, has decided to withdraw from the Fed process. Steve won the battle of ideas including Tax Cuts...."
2019-05-02 03:14:36+00:00,"""The Mueller Witch Hunt is completely OVER!"" @SeanHannitypic.twitter.com/bE13T2Kt48"
2019-05-02 03:09:34+00:00,The Collusion Delusion is OVER!pic.twitter.com/sRnHoDmzFJ
2019-05-02 02:53:39+00:00,I am continuing to monitor the situation in Venezuela very closely. The United States stands with the People of Venezuela and their Freedom!pic.twitter.com/rtGfjQjc1u
2019-05-02 01:58:10+00:00,https://www.wsj.com/articles/a-real-attorney-general-11556752279 …
