,Date,tweet,polarity,sentiment
0,2019-04-01,Democrats should stop fighting Sen. David Perdue’s disaster relief bill. They are blocking funding and relief for our great farmers and rural America!,negative,-1
1,2019-04-01,"No matter what information is given to the crazed Democrats from the No Collusion Mueller Report, it will never be good enough. Behind closed doors the Dems are laughing!",negative,-1
2,2019-04-01,"The cost of ObamaCare is far too high for our great citizens. The deductibles, in many cases way over $7000, make it almost worthless or unusable. Good things are going to happen! @SenRickScott @senatemajldr @SenJohnBarrasso @SenBillCassidy",positive,1
3,2019-04-01,Can you believe that the Radical Left Democrats want to do our new and very important Census Report without the all important Citizenship Question. Report would be meaningless and a waste of the $Billions (ridiculous) that it costs to put together!,negative,-1
4,2019-04-01,"Democrats, working with Republicans in Congress, can fix the Asylum and other loopholes quickly. We have a major National Emergency at our Border. GET IT DONE NOW!",negative,-1
5,2019-04-01,"Now that the long awaited Mueller Report conclusions have been released, most Democrats and others have gone back to the pre-Witch Hunt phase of their lives before Collusion Delusion took over. Others are pretending that their former hero, Bob Mueller, no longer exists!",negative,-1
6,2019-04-02,"Today, it was my great honor to welcome @NATO Secretary General @JensStoltenberg to the @WhiteHouse!pic.twitter.com/4drPHXZBWH",positive,1
7,2019-04-02,"Today, we celebrate the tremendous accomplishments of Americans with ASD and reaffirm our commitment to work together to ensure that every member of our society is afforded equal opportunities to reach their full potential. #WorldAutismAwarenessDayhttps://www.whitehouse.gov/presidential-actions/proclamation-world-autism-awareness-day-2019/ …",positive,1
8,2019-04-02,"“I haven’t seen any Democrats down here at the Border working with us or asking to speak to any of us. They have an open invitation. We are getting overrun, our facilities are overcapacity. We are at an emergency crisis.” Art Del Cueto, National Border Patrol Council.",negative,-1
9,2019-04-02,pic.twitter.com/jVIodsTNNH,neutral,0
10,2019-04-02,"After many years (decades), Mexico is apprehending large numbers of people at their Southern Border, mostly from Guatemala, Honduras and El Salvador. They have ALL been taking U.S. money for years, and doing ABSOLUTELY NOTHING for us, just like the Democrats in Congress!",neutral,0
11,2019-04-02,There is no amount of testimony or document production that can satisfy Jerry Nadler or Shifty Adam Schiff. It is now time to focus exclusively on properly running our great Country!,neutral,0
12,2019-04-02,"Robert Mueller was a God-like figure to the Democrats, until he ruled No Collusion in the long awaited $30,000,000 Mueller Report. Now the Dems don’t even acknowledge his name, have become totally unhinged, and would like to go through the whole process again. It won’t happen!",negative,-1
13,2019-04-02,"World Autism Awareness Day 2019: Significance, history and theme via @htTweetshttps://m.hindustantimes.com/health/world-autism-awareness-day-2019-significance-history-and-theme/story-pur37CVyhW8guEFrYiEpHP.html …",neutral,0
14,2019-04-02,"In 1998, Rep.Jerry Nadler strongly opposed the release of the Starr Report on Bill Clinton. No information whatsoever would or could be legally released. But with the NO COLLUSION Mueller Report, which the Dems hate, he wants it all. NOTHING WILL EVER SATISFY THEM! @foxandfriends",negative,-1
15,2019-04-02,"....The best thing that ever happened to Puerto Rico is President Donald J. Trump. So many wonderful people, but with such bad Island leadership and with so much money wasted. Cannot continue to hurt our Farmers and States with these massive payments, and so little appreciation!",positive,1
16,2019-04-02,"Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before, & all their local politicians do is complain & ask for more money. The pols are grossly incompetent, spend the money foolishly or corruptly, & only take from USA....",negative,-1
17,2019-04-02,"....the crazed and incompetent Mayor of San Juan have done such a poor job of bringing the Island back to health. 91 Billion Dollars to Puerto Rico, and now the Dems want to give them more, taking dollars away from our Farmers and so many others. Disgraceful!",negative,-1
18,2019-04-02,"....are GREAT, but the politicians are incompetent or corrupt. Puerto Rico got far more money than Texas & Florida combined, yet their government can’t do anything right, the place is a mess - nothing works. FEMA & the Military worked emergency miracles, but politicians like.....",negative,-1
19,2019-04-02,The Democrats today killed a Bill that would have provided great relief to Farmers and yet more money to Puerto Rico despite the fact that Puerto Rico has already been scheduled to receive more hurricane relief funding than any “place” in history. The people of Puerto Rico.....,positive,1
20,2019-04-02,"....back the House. It will be truly great HealthCare that will work for America. Also, Republicans will always support Pre-Existing Conditions. The Republican Party will be known as the Party of Great HealtCare. Meantime, the USA is doing better than ever & is respected again!",positive,1
21,2019-04-02,....are developing a really great HealthCare Plan with far lower premiums (cost) & deductibles than ObamaCare. In other words it will be far less expensive & much more usable than ObamaCare. Vote will be taken right after the Election when Republicans hold the Senate & win......,positive,1
22,2019-04-02,"Everybody agrees that ObamaCare doesn’t work. Premiums & deductibles are far too high - Really bad HealthCare! Even the Dems want to replace it, but with Medicare for all, which would cause 180 million Americans to lose their beloved private health insurance. The Republicans.....",negative,-1
23,2019-04-03,"The First Step Act proves that our Country can achieve amazing breakthroughs when we put politics aside, and put the interests of ALL Americans FIRST. http://45.wh.gov/gF3mc7 pic.twitter.com/kILIFjXglO",positive,1
24,2019-04-03,"Congress must get together and immediately eliminate the loopholes at the Border! If no action, Border, or large sections of Border, will close. This is a National Emergency!",negative,-1
25,2019-04-03,"...This will be a great campaign issue. I never asked Mitch McConnell for a vote before the Election as has been incorrectly reported (as usual) in the @nytimes, but only after the Election when we take back the House etc. Republicans will always support pre-existing conditions!",positive,1
26,2019-04-03,I was never planning a vote prior to the 2020 Election on the wonderful HealthCare package that some very talented people are now developing for me & the Republican Party. It will be on full display during the Election as a much better & less expensive alternative to ObamaCare...,positive,1
27,2019-04-04,. @ByronYork: “How bad does border have to be for Democrats to admit it's an emergency?”https://www.washingtonexaminer.com/opinion/columnists/byron-york-how-bad-does-border-have-to-be-for-democrats-to-admit-its-an-emergency …,neutral,0
28,2019-04-04,“Conservative support for Trump wall soars to 99 percent”https://www.washingtonexaminer.com/washington-secrets/conservative-support-for-trump-wall-soars-to-99 …,neutral,0
29,2019-04-04,“Democrats need to help fix the border crisis or get out of Trump’s way”https://nypost.com/2019/04/01/democrats-need-to-help-fix-the-border-crisis-or-get-out-of-trumps-way/amp/ …,neutral,0
